#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-19T19:24:19 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-19T19:24:19	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+A/532/A10&tab:{J/A+A/532/A10/stars}&key:source=J/A+A/532/A10/stars&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/532/A10/stars
#-order=I
#-out=Assoc
#-out=P
#-out=Target
#-out=ASAS
#-out=Per
#-out=n_Per
#-out=e_Per
#-out=TS
#-out=Qual
#-out=Vamp
#-out.all=2
#-out=Vsig
#-out=Vmin
#-out=B-V
#-out=n_B-V
#-out=SpType
#-out=Note
#-out=VName
#-out=OName
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=r_Vmag
#-out=(B-V)
#-out.all=2
#-out=(V-I)
#-out=r_(V-I)
#-out=VMAG
#-out=Dist
#-out=l_vsini
#-out=vsini
#-out=Mass
#-out=Rad
#-out=SpT.l
#-out=MGR
#-out=n_Vmag
#-out.all=2
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35320010
#Name: J/A+A/532/A10
#Title: RACE-OC project. II. (Messina+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/532/a10	
#INFO	publisher=CDS	
#INFO	creator=Messina S.	
#INFO	related_resource=bibcode:2011A&A...532A..10M	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/532/A10	
#INFO	publication_id=doi:10.26093/cds/vizier.35320010	
#INFO	publication_date=2017-06-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_532_A10_stars:
#Name: J/A+A/532/A10/stars
#Title: Data about the studied stars,  including results from the literature and physical data derived from  evolutionary tracks
#Column	Assoc	(A7)	Association name	[ucd=meta.id.parent]
#Column	P	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Target	(a15)	Target name	[ucd=meta.id;meta.main]
#Column	ASAS	(A13)	ASAS name (HHMMSS.ss+DDMM.m, J2000)	[ucd=meta.id]
#Column	Per	(F6.3)	? Period	[ucd=time.period]
#Column	n_Per	(A1)	[bc] Undetected or inconsistent period (1)	[ucd=meta.note]
#Column	e_Per	(F6.3)	? rms uncertainty on Per	[ucd=stat.error]
#Column	TS	(A9)	? Timeseries sections	[ucd=meta.note]
#Column	Qual	(A1)	[CLU] Quality for Confirmed, Likely, Undertain	[ucd=meta.code.qual]
#Column	Vamp	(F5.2)	? V-band maximum peak-to-peak light curve amplitude	[ucd=src.var.amplitude;em.opt.V;stat.max]
#Column	Vsig	(F5.2)	? Photometric precision	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Vmin	(F5.2)	Minimum V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	n_B-V	(A2)	[ad Av] Note on B-V (2)	[ucd=meta.note]
#Column	SpType	(a6)	MK spectral type	[ucd=src.spType]
#Column	Note	(a10)	Note about binarity or period origin (3)	[ucd=meta.note]
#Column	VName	(a9)	Variable name	[ucd=meta.id]
#Column	OName	(a23)	Other name (IC 2391 cluster only)	[ucd=meta.id]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	r_Vmag	(A1)	[ATLP] Reference for Vmag (2)	[ucd=meta.ref;pos.frame]
#Column	(B-V)	(F5.2)	? B-V colour index (from literature)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	(V-I)	(F5.2)	? V-I colour index (from literature)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	r_(V-I)	(I1)	[0/7] Reference for V-I and B-V (3)	[ucd=meta.ref;pos.frame]
#Column	VMAG	(F5.2)	Absolute V magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	Dist	(F5.1)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	l_vsini	(A1)	Limit flag on vsini	[ucd=meta.code.error;phys.veloc.rotat]
#Column	vsini	(F6.2)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	Mass	(F4.1)	? Mass	[ucd=phys.mass]
#Column	Rad	(F5.2)	? Radius	[ucd=phys.size.radius]
#Column	SpT.l	(a7)	MK spectral type from literature	[ucd=src.spType]
#Column	MGR	(a7)	Membership to association (1)	[ucd=meta.id.parent]
#Column	n_Vmag	(A2)	[Av] Av when corrected for extinction	[ucd=meta.note]
Assoc|P|Target|ASAS|Per|n_Per|e_Per|TS|Qual|Vamp|Vsig|Vmin|B-V|n_B-V|SpType|Note|VName|OName|RAJ2000|DEJ2000|Vmag|r_Vmag|(B-V)|(V-I)|r_(V-I)|VMAG|Dist|l_vsini|vsini|Mass|Rad|SpT.l|MGR|n_Vmag
eta Cha| |RECX 3         |084136-7903.7| 3.570| |      | 2    / 2|U| 0.08|     |14.30|     |a |M3    |Plit      |EH Cha   |                       |08 41 37.20|-79 03 30.90|14.30|A|     | 2.45|3| 9.35| 97.3| | 10.50| 0.3| 1.00|M3     |eta Cha|
eta Cha|P|RECX 4         |084229-7903.9| 7.100| | 0.400| 6(10)/12|C| 0.25| 0.03|12.73|     |  |K7    |P=Plit    |EI Cha   |                       |08 42 23.70|-79 04 03.60|12.73|A|     | 1.92|3| 7.78| 97.3| |  5.96| 0.8| 1.00|K7     |eta Cha|
eta Cha| |RECX 5         |084235-7858.1| 3.110| |      | 1    / 2|U| 0.03|     |15.17|     |  |M5    |Plit      |EK Cha   |                       |08 42 27.30|-78 57 48.50|15.17|A|     | 2.80|3|10.22| 97.3| |  8.75| 0.2| 1.00|M5     |eta Cha|
eta Cha| |RECX 6         |084239-7854.7| 1.840| |      | 2    / 2|U| 0.16|     |13.98|     |a |M7    |Plit      |EL Cha   |                       |08 42 39.00|-78 54 43.50|13.98|A|     | 2.35|3| 9.03| 97.3| | 20.90| 0.4| 1.00|M2     |eta Cha|
eta Cha| |RECX 7         |084302-7904.7| 2.620| |      | 2    / 2|U| 0.09|     |10.76|     |a |M3    |SB2; Plit |EM Cha   |                       |08 43 07.70|-79 04 52.30|10.76|A|     | 1.36|3| 5.81| 97.3| | 32.00| 1.1| 1.60|K3     |eta Cha|
eta Cha| |RECX 9         |084419-7859.1| 1.710| |      | 2    / 2|U| 0.38|     |14.75|     |a |M4    |V; Plit   |EN Cha   |                       |08 44 16.60|-78 59 08.90|14.75|A|     | 2.87|3| 9.80| 97.3| |      | 0.3| 1.20|M4     |eta Cha|
eta Cha|P|RECX 10        |084432-7846.6|20.000| | 3.000| 5( 5)/12|C| 0.26| 0.03|12.41|     |  |K7    |P=Plit    |EO Cha   |                       |08 44 32.20|-78 46 31.70|12.41|A|     | 1.77|3| 7.46| 97.3|<|  5.00| 0.9| 1.20|K7     |eta Cha|
eta Cha|P|RECX 11        |084708-7859.6| 4.840| | 0.040| 7( 7)/12|C| 0.28| 0.03|11.00|     |  |K4    |P{ne}lit  |EP Cha   |                       |08 47 01.80|-78 59 35.20|11.00|A|     | 1.36|3| 6.05| 97.3| | 13.00| 1.0| 1.20|K4     |eta Cha|
eta Cha|P|RECX 12        |084802-7855.0| 1.260|b| 0.050| 2( 2)/12|C| 0.18| 0.03|13.92| 0.73|  |M3e   |V; P=Plit |EQ Cha   |                       |08 47 56.90|-78 54 54.00|13.92|A| 0.73| 2.34|3| 8.97| 97.3| | 15.00| 0.4| 1.00|M3e    |eta Cha|
eta Cha| |RECX 14        |             | 1.730| |      | 2    / 2|U| 0.04|     |17.07|     |  |M5e   |Plit      |ES Cha   |                       |08 41 30.60|-78 53 07.00|17.07|L|     | 3.25|3|12.12| 97.3| |      | 0.1| 0.80|M4     |eta Cha|
eta Cha| |RECX 15        |084319-7905.4|12.800| |      | 2    / 2|U| 0.44|     |13.97|     |a |M3e   |Plit      |ET Cha   |                       |08 43 18.40|-79 05 21.00|13.97|A|     | 2.20|3| 9.02| 97.3| |      | 0.5| 0.90|M2     |eta Cha|
eta Cha| |RECX 16        |             |      | |      |         | |     |     |17.07|     |  |M5e   |---       |         |                       |08 44 09.10|-78 33 46.00|17.07|L|     | 4.00|2|12.12| 97.3| |      |    |     |M5e    |eta Cha|
eta Cha| |RECX 17        |             |      | |      |         | |     |     |16.82|     |  |M5e   |---       |         |                       |08 38 51.50|-79 16 14.00|16.82|L|     | 4.00|2|11.89| 97.3| |      |    |     |M5e    |eta Cha|
eta Cha| |RECX 18        |             |      | |      |         | |     |     |17.66|     |  |M5e   |---       |         |                       |08 36 10.60|-79 08 18.00|17.66|L|     | 4.00|2|12.71| 97.3| |      |    |     |M5e    |eta Cha|
Octans |P|CD-58 860      |041156-5801.8| 1.612| | 0.005| 9(10)/12|C| 0.10| 0.03| 9.92| 0.68|  |G6V   |new       |         |                       |04 11 55.60|-58 01 47.00| 9.92|A| 0.68| 0.75|0| 5.35| 82.0| | 20.10| 1.0| 1.00|G6V    |Oct    |
Octans | |CD-43 1451     |043027-4248.8|      | |      |         | |     |     |10.75| 0.79|  |G9V(e)|---       |         |                       |04 30 27.30|-42 48 47.00|10.75|A| 0.79| 0.90|0| 5.35|120.0| | 19.70| 1.0| 1.00|G9V(e) |Oct    |
Octans |P|CD-72 248      |050651-7221.2| 0.236| | 0.001| 6( 6)/12|C| 0.09| 0.03|10.70| 0.82|  |K0I   |new       |         |                       |05 06 50.60|-72 21 12.00|10.70|A| 0.82| 0.94|0| 4.92|143.0| |190.00| 1.1| 1.40|K0IV   |Oct    |
Octans |P|HD 274576      |052851-4628.3| 2.220| | 0.020| 9(10)/12|C| 0.10| 0.03|10.48| 0.66|  |G6V   |new       |         |                       |05 28 51.40|-46 28 18.00|10.48|A| 0.66| 0.77|0| 5.16|116.0| | 21.10| 1.0| 1.00|G6V    |Oct    |
Octans |P|CD-47 1999     |054332-4741.2| 1.265| | 0.004| 3( 6)/12|C| 0.08| 0.03|10.05| 0.56|  |G9V(e)|P=PACVS   |         |                       |05 43 32.10|-47 41 11.00|10.05|A| 0.56| 0.67|0| 3.94|167.0| | 39.00| 1.1| 1.40|G0V(e) |Oct    |
Octans |P|TYC 7066-1037-1|055812-3500.8| 2.470|b| 0.040| 6( 9)/14|C| 0.08| 0.03|11.14| 0.80|Av|G9V   |new       |         |                       |05 58 11.80|-35 00 49.00|10.77|A| 0.80| 0.84|2| 4.90|149.0| | 20.50| 1.0| 1.15|G9V    |Oct    |Av
Octans |P|CD-66 395      |062515-6629.5| 0.371| | 0.001| 6(10)/12|C| 0.16| 0.03|10.75| 0.71|  |K0I   |new       |         |                       |06 25 12.40|-66 29 10.00|10.75|A| 0.71| 0.91|2| 4.91|147.0| |190.00| 1.1| 1.45|K0IV   |Oct    |
Octans |P|TYC 9300-0529-1|184949-7157.2| 2.550|b| 0.030| 4(14)/14|L| 0.06| 0.03|11.59| 0.80|  |K0V   |V; new    |         |                       |18 49 45.10|-71 56 58.00|11.59|A| 0.80| 0.91|0| 5.13|196.0| | 25.80| 1.0| 1.20|K0V    |Oct    |
Octans | |TYC 9300-0891-1|184949-7157.2|      | |      |         | |     |     |11.43| 0.77|  |K0V(e)|V         |         |                       |18 49 48.70|-71 57 10.00|11.43|A| 0.77| 0.90|0| 5.21|175.0| |  9.00| 1.0| 1.05|K0V(e) |Oct    |
Octans |P|CP-79 1037     |194704-7857.7| 1.950|b| 0.020| 5( 6)/13|C| 0.05| 0.03|11.18| 0.75|  |G8V   |new       |         |                       |19 47 03.90|-78 57 43.00|11.18|A| 0.75| 0.86|0| 5.11|164.0| | 28.70| 1.0| 1.10|G8V    |Oct    |
Octans |P|CP-82 784      |195357-8240.7| 1.373| | 0.003| 9( 9)/13|C| 0.08| 0.03|10.81| 0.85|  |K1V   |new       |         |                       |19 53 56.70|-82 40 42.00|10.81|A| 0.85| 0.96|2| 4.90|152.0| | 39.00| 1.1| 1.40|K1V    |Oct    |
Octans |P|CD-87 121      |235818-8626.4| 0.762| | 0.002| 4( 6)/12|L| 0.03| 0.03| 9.94| 0.74|  |G8V   |V?; new   |         |                       |23 58 17.70|-86 26 24.00| 9.94|A| 0.74| 0.88|2| 4.51|122.0| | 33.80| 1.1| 1.40|G8V    |Oct    |
Argus  |P|HD 5578        |005655-5152.5| 1.461| | 0.005| 4( 5)/ 6|L| 0.05| 0.03| 9.62| 0.99|  |K3V   |V; new    |BW Phe   |                       |00 56 55.50|-51 52 32.00| 9.62|T| 0.99| 1.04|4| 6.84| 36.0| | 29.30| 0.8| 0.90|K3Ve   |Arg    |
Argus  | |CD-49 1902     |054945-4918.4| 1.100| | 0.005| 3( 6)/ 8|L| 0.09| 0.03|11.30| 0.69|  |G7V   |new       |         |                       |05 49 44.80|-49 18 26.00|11.30|A| 0.69| 0.78|4| 5.68|133.0| | 55.00| 1.0| 1.00|G7V    |Arg    |
Argus  |P|CD-56 1438     |054945-4918.4| 0.240| | 0.002| 1( 4)/ 8|U| 0.08| 0.03|11.10| 0.66|  |K0V   |new       |         |                       |06 11 53.00|-56 19 05.00|11.11|T| 0.66| 0.88|5| 6.08|101.0| |130.00| 0.9| 1.00|K0V    |Arg    |
Argus  |P|CD-28 3434     |064945-2859.3| 3.820| | 0.030| 7( 7)/10|C| 0.06| 0.03|10.38| 0.75|a |G7V   |new       |         |                       |06 49 45.40|-28 59 17.00|10.38|T| 0.75| 0.82|5| 5.19|109.0| |      | 1.0| 1.00|G7V    |Arg    |
Argus  |P|CD-42 2906     |070153-4227.9| 3.950| | 0.060| 4( 6)/ 7|L| 0.09| 0.03|10.50| 0.84|  |K1V   |new       |         |                       |07 01 53.40|-42 27 56.00|10.50|A| 0.84| 0.88|5| 5.59| 96.0| | 11.30| 1.0| 1.00|K1V    |Arg    |
Argus  |P|CD-48 2972     |072822-4908.6| 1.038| | 0.004| 6( 3)/ 8|C| 0.11| 0.03| 9.78| 0.80|  |G8V   |P{ne}PACVS|         |                       |07 28 22.00|-49 08 38.00| 9.78|A| 0.80| 0.84|5| 5.13| 85.0| | 52.00| 1.0| 1.20|G8V    |Arg    |
Argus  | |HD 61005       |073547-3212.2| 5.040| | 0.030| 3(10)/14|C| 0.05| 0.03| 8.19| 0.75|  |G8V   |new       |         |                       |07 35 47.46|-32 12 14.04| 8.19|A| 0.75| 0.80|4| 5.48| 35.0| |  8.20| 0.9| 0.84|G8V    |Arg    |
Argus  |P|CD-48 3199     |074726-4902.9| 2.190| | 0.010| 6( 5)/ 7|C| 0.06| 0.03|10.40| 0.65|  |G7V   |new       |         |                       |07 47 26.00|-49 02 51.00|10.40|A| 0.65| 0.73|5| 5.51| 95.0| | 24.70| 1.0| 1.00|G7V    |Arg    |
Argus  |P|CD-43 3604     |074851-4327.3| 0.890| | 0.001| 4( 6)/ 9|L| 0.10| 0.03|10.88| 0.92|  |K4V   |new       |         |                       |07 48 49.60|-43 27 06.00|10.88|T| 0.92| 1.11|5| 6.39| 79.0| | 40.00| 0.9| 0.90|K4Ve   |Arg    |
Argus  | |TYC 8561-0970-1|075355-5710.1|      | |      |         | | 0.00| 0.00|11.50| 0.83|Av|K0V   |---       |         |                       |07 53 55.50|-57 10 07.00|11.00|A| 0.83| 0.88|5| 5.38|133.0| |  5.60| 1.0| 1.10|K0V    |Arg    |Av
Argus  |P|CD-58 2194     |083912-5834.5| 5.160|c| 0.040| 3( 4)/ 7|U| 0.04| 0.03|10.08| 0.62|  |G5V   |new       |         |                       |08 39 11.60|-58 34 28.00|10.08|A| 0.62| 0.72|5| 4.95|106.0| | 85.00| 1.0| 1.00|G5V    |Arg    |
Argus  |P|CD-57 2315     |085008-5746.0|      | |      |         | |     |     |10.21| 0.83|  |K3V   |---       |         |                       |08 50 08.10|-57 45 59.00|10.21|T| 0.83| 1.06|5| 5.34| 94.0| | 23.70| 1.0| 1.40|K3Ve   |Arg    |
Argus  |P|TYC 8594-0058-1|090204-5808.8| 0.982| | 0.002| 4( 4)/ 7|U| 0.05| 0.03|11.08| 0.71|  |G8V   |new       |         |                       |09 02 03.90|-58 08 50.00|11.08|A| 0.71| 0.83|5| 5.33|141.0| | 34.10| 1.0| 1.10|G8V    |Arg    |
Argus  |P|CPD-62 1197    |091330-6259.2| 1.260|c| 0.001| 7( 5)/ 9|U| 0.05| 0.03|10.46| 0.81|  |K0V   |new       |         |                       |09 13 30.30|-62 59 09.00|10.46|T| 0.81| 0.93|4| 5.23|111.0| | 84.00| 1.0| 1.20|K0V(e) |Arg    |
