#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-19T13:12:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6054a3083b2e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/640/A1&tab:{J/A+A/640/A1/nodup}&key:source=J/A+A/640/A1/nodup&HTTPPRM:&
#-c=IC2391
#-c.eq=J2000
#-c.r=  10
#-c.u=deg
#-c.geom=r
#-source=J/A+A/640/A1/nodup
#-order=I
#-out=RA_ICRS
#-out=DE_ICRS
#-out=GaiaDR2
#-out=Plx
#-out=pmRA*
#-out=pmDE
#-out=RV
#-out=o_Gmag
#-out=Gmag
#-out=BP-RP
#-out=proba
#-out=Cluster
#-out=Teff50
#-out=_RA.icrs
#-out=_DE.icrs
#
#INFO	-c=130.133333-53.033333,rd=10.	
#Constraint -bmark=POST

#RESOURCE=yCat_36400001
#Name: J/A+A/640/A1
#Title: Portrait Galactic disc (Cantat-Gaudin+, 2020)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_640_A1_nodup:
#Name: J/A+A/640/A1/nodup
#Title: Members
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR2	(I19)	Gaia DR2 source ID	[ucd=meta.id;meta.main]
#Column	Plx	(D24.17)	Absolute stellar parallax	[ucd=pos.parallax]
#Column	pmRA*	(D25.18)	Proper motion in right ascension direction (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(D25.18)	Proper motion in declination direction	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F24.19)	? Spectroscopic radial velocity in the solar barycentric reference frame	[ucd=phys.veloc;pos.heliocentric]
#Column	o_Gmag	(I4)	Number of observations contributing to G photometry	[ucd=meta.number]
#Column	Gmag	(F10.7)	G-band mean magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(D16.9)	? BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	proba	(F8.5)	Membership probability	[ucd=stat.probability]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id.parent]
#Column	Teff50	(F14.8)	? Effective temperature (Anders et al., 2019A&A...628A..94A, Cat. I/349)	[ucd=phys.temperature.effective]
#Column	_RA.icrs	(F15.11)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F15.11)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
RA_ICRS|DE_ICRS|GaiaDR2|Plx|pmRA*|pmDE|RV|o_Gmag|Gmag|BP-RP|proba|Cluster|Teff50|_RA.icrs|_DE.icrs
134.53380643879|-61.31580882116|5298418823411432960| 6.86276498060365991e+00|-1.359016536608890036e+01| 1.564093158025839969e+01|  19.6557505183732992293| 390| 8.9541240| 6.356773400e-01| 0.90000|Platais_8        | 6817.27540000|134.53392834628|-61.31587616400
136.29876973855|-61.31218885078|5298198951143982208| 7.18391929260156026e+00|-1.447683781949029935e+01| 1.568886164592339938e+01|                        | 338|16.6037350| 3.229325300e+00| 1.00000|Platais_8        |              |136.29889958475|-61.31225639998
120.22055865692|-61.30822079145|5289988416778566272| 2.42665914719386011e+00|-5.254464126089190223e+00| 1.155636392439999938e+01|                        | 431|14.9660370| 1.440982800e+00| 0.90000|NGC_2516         | 4697.00200000|120.22060577947|-61.30827054801
120.10315075088|-61.30152313143|5289895477984777728| 2.46561672591752989e+00|-4.926002317300119948e+00| 1.104053990412839958e+01|                        | 412|16.5815580| 2.035741800e+00| 0.80000|NGC_2516         | 3929.09420000|120.10319491832|-61.30157066708
128.40183090729|-61.28789055629|5301916301174816128| 9.74617654833846991e-01|-4.786505756707660098e+00| 2.996472070673339871e+00|                        | 371|14.9541570| 1.106760000e+00| 1.00000|UBC_255          |              |128.40187380528|-61.28790345776
128.05580814021|-61.28154021655|5301897300238921856| 1.07093596699368998e+00|-4.969306287915689957e+00| 2.792545290581249784e+00|                        | 353|13.4608790| 1.572966600e+00| 1.00000|UBC_255          | 5128.17578125|128.05585266750|-61.28155224000
120.57143760935|-61.27692631916|5289977872638551808| 2.43725619498844015e+00|-5.633562317896790184e+00| 1.163561447592680054e+01|  23.8153234755289986424| 337|11.8203330| 7.231178000e-01| 1.00000|NGC_2516         | 6674.79830000|120.57148808132|-61.27697641693
128.45281824113|-61.27457114807|5301916232455343232| 1.13120696736984994e+00|-4.847001979403260385e+00| 2.883621048752869953e+00|                        | 362|13.4599470| 9.258499000e-01| 1.00000|UBC_255          | 6452.54833984|128.45286166288|-61.27458356365
120.11521350882|-61.26148321290|5289992372447986816| 2.42269099952704980e+00|-5.594076688337120018e+00| 1.149748346972820023e+01|                        | 413|13.9601300| 1.155422200e+00| 0.90000|NGC_2516         | 5331.06930000|120.11526360240|-61.26153271594
119.76297452068|-61.25246406784|5290648712171776896| 2.44352193466853018e+00|-5.353901331265720209e+00| 1.170865955929910029e+01|  24.9933344903950001026| 403|12.0093700| 7.836780500e-01| 0.80000|NGC_2516         | 6551.06350000|119.76302244979|-61.25251448011
121.15734269336|-61.25043270220|5289934751163440000| 2.43886713450523018e+00|-5.497746946372330079e+00| 1.143148150060009982e+01|  22.4748749548566983947| 204|11.3571950| 5.931701700e-01| 0.80000|NGC_2516         | 6985.31350000|121.15739190702|-61.25048192107
133.28749924654|-61.22314202838|5301343593057930240| 2.74386370677959013e+00|-8.773758408130509778e+00| 2.430515632881749877e+00|                        | 340|17.1301040| 2.600499200e+00| 1.00000|UPK_545          | 3707.89920000|133.28757771755|-61.22315249308
120.42841111798|-61.21532451179|5289990585741601536| 2.47410730868037998e+00|-4.452572796432979985e+00| 1.144081141509190047e+01|                        | 386|16.7974280| 2.376566000e+00| 0.80000|NGC_2516         | 3817.22880000|120.42845093119|-61.21537377083
128.48391816078|-61.20471893574|5301918122240899456| 1.07161040604278002e+00|-4.838019755004009603e+00| 2.840166078798620042e+00|  -3.1758249207767699218| 309|12.2803790| 9.169102000e-01| 1.00000|UBC_255          | 6447.96728516|128.48396140589|-61.20473116423
120.20560823918|-61.20429651502|5289992990923208704| 2.44319192178337996e+00|-4.466313755400699748e+00| 1.133665686839420061e+01|                        | 403|16.9588470| 2.345255900e+00| 0.80000|NGC_2516         | 3906.69200000|120.20564816127|-61.20434532562
120.16634421308|-61.20353200270|5289993162721899264| 2.43532369577720020e+00|-4.777999688339909845e+00| 1.190878107931379937e+01|                        | 431|14.1213200| 1.216202700e+00| 1.00000|NGC_2516         | 5364.63400000|120.16638692014|-61.20358327661
120.90914490583|-61.20249189416|5289982713061723008| 2.36525093687005983e+00|-4.847132336108869843e+00| 1.082646069779140063e+01|                        | 389|13.0489180| 9.114685000e-01| 0.70000|NGC_2516         | 6051.83540000|120.90918822938|-61.20253850808
119.67428616343|-61.20052504149|5290652732261058816| 2.42368822449711008e+00|-4.625822382991040094e+00| 1.121443307703640002e+01|                        | 389|16.4755380| 2.331610700e+00| 0.90000|NGC_2516         | 3493.81570000|119.67432750634|-61.20057332585
119.58680314089|-61.19606083836|5290652938419483904| 2.43671697947271015e+00|-4.643640265332280137e+00| 1.195109861886989933e+01|  22.5191275389319010003| 433|12.9578450| 9.394865000e-01| 0.90000|NGC_2516         | 6196.74000000|119.58684463717|-61.19611229447
119.50911724089|-61.19115069952|5290653350736340736| 2.41270222174085980e+00|-4.875111728222280227e+00| 1.125237253573700080e+01|                        | 443|13.8735320| 1.318411800e+00| 0.80000|NGC_2516         | 5514.45070000|119.50916079884|-61.19119914723
121.28565505124|-61.18736195636|5289958425026796288| 2.40918820023094016e+00|-5.010441469558940319e+00| 1.131696637052320042e+01|                        | 440|16.9264340| 2.194625900e+00| 0.70000|NGC_2516         | 3996.69500000|121.28569981294|-61.18741068218
119.59293899891|-61.18544941581|5290652938419484928| 2.52175543220714005e+00|-4.326184766782979807e+00| 1.124734118280109918e+01|                        | 427|16.6358760| 2.100884400e+00| 0.70000|NGC_2516         | 4151.28960000|119.59297764534|-61.18549784186
119.74877705017|-61.18188058644|5290651323511794816| 2.40484401237107015e+00|-4.830804185931230066e+00| 1.110376632902809924e+01|                        | 428|14.1284060| 1.185605000e+00| 0.70000|NGC_2516         | 5312.14450000|119.74882019955|-61.18192839432
119.62662452597|-61.16857600521|5290653075858442752| 2.48520137723535983e+00|-4.110094823056240187e+00| 1.078807631465780048e+01|                        | 386|15.0262080| 1.437668800e+00| 0.80000|NGC_2516         | 4636.00700000|119.62666122239|-61.16862245386
119.35119025110|-61.16244150670|5290659672927983232| 2.39414105895570994e+00|-4.169373583673769978e+00| 1.173888994162400046e+01|                        | 404|17.9516320| 2.847124000e+00| 0.70000|NGC_2516         | 3202.11670000|119.35122746954|-61.16249204914
136.80228145733|-61.15877628446|5299696043608280064| 7.70363973109011013e+00|-1.384242112605179997e+01| 1.408065820933139989e+01|                        | 315|15.7187410| 3.065060600e+00| 1.00000|Platais_8        | 3058.78690000|136.80240500916|-61.15883690946
134.09327677163|-61.14763643523|5298439061296968576| 3.33157951185630985e+00|-9.600559534548260388e+00| 2.816223167186480136e+00|                        | 386|15.6898810| 1.935434300e+00| 0.90000|UPK_545          | 4276.61300000|134.09336243194|-61.14764856061
120.54849056570|-61.14249268491|5289997075432766336| 2.47876032299416016e+00|-5.124163457782239917e+00| 1.108706026315149984e+01|                        | 370|16.5487020| 1.966512700e+00| 0.70000|NGC_2516         | 4237.08600000|120.54853627830|-61.14254042086
121.21176966187|-61.13119776533|5290005772746195968| 2.35225386501282019e+00|-5.224461331418780219e+00| 1.144904209447149945e+01|                        | 466|17.3373410| 2.352750800e+00| 0.70000|NGC_2516         | 3536.37670000|121.21181625255|-61.13124705981
119.31824167940|-61.12947155577|5290660703720134912| 2.39568829288071994e+00|-4.711276616564440189e+00| 1.113504312757770087e+01|                        | 394|15.9846360| 1.814126000e+00| 0.90000|NGC_2516         | 4136.91850000|119.31828369131|-61.12951949831
